Site,Plot,Tree #,Species,DBH (in),Height,Live Crown Ratio (%),Class,Status,Site ID,Core ID,Species,Skeleton (Y/N),Measured (Y/N),Innermost Year,Notes
Indian Slough,2,1,AE,12.2,57.1,50,D,L,,,,,,,
Indian Slough,2,2,ASH,17.3,50.5,80,D,L,IS,0202B,ASH,,,1920,Split trunk
Indian Slough,2,3,ASH,20.3,50.5,80,D,L,,,,,,,
Indian Slough,2,4,ASH,15.6,36.7,30,D,L,IS,0204B,CW,,,1916,
Indian Slough,2,5,CW,33.3,90,50,D,L,,,,,,,
Indian Slough,2,6,SM,26.2,64.7,60,I,L,,,,,,,
Indian Slough,2,7,SM,31.6,89.6,40,D,L,,,,,,,
Indian Slough,3,1,HB,10.3,68.6,50,I,L,,,,,,,
Indian Slough,3,2,SM,32.9,67.4,40,D,L,,,,,,,
Indian Slough,3,3,SM,18.1,77.3,30,C,L,,,,,,,
Indian Slough,3,4,SM,9.2,37.8,60,I,L,IS,0304A,SM,,,1926,
Indian Slough,3,5,ASH,7.6,29.9,50,S,L,IS,0305B,ASH,,,1924,
Indian Slough,3,6,HB,9.1,58.4,60,C,L,,,,,,,
Indian Slough,3,7,HB,9.9,45.4,30,C,L,,,,,,,
Indian Slough,3,8,HB,14.9,60.9,50,D,L,IS,0308A,HB,,,1941,
Indian Slough,3,9,ASH,10.7,42.6,70,S,L,,,,,,,
Indian Slough,3,10,HB,7.3,38.7,70,S,L,,,,,,,
Indian Slough,3,11,HB,7.4,40.9,30,S,L,,,,,,,
Great River Harbor,1,1,SM,9.2,67.1,60,D,L,,,,,,,
Great River Harbor,1,2,SM,8.7,67.1,60,D,L,,,,,,,
Great River Harbor,1,3,SM,7.6,60.4,40,C,L,,,,,,,
Great River Harbor,1,4,SM,7.7,55.1,20,I,L,,,,,,,
Great River Harbor,1,5,SM,8.7,51.7,15,S,L,,,,,,,
Great River Harbor,1,6,SM,9.1,48.4,35,S,L,,,,,,,
Great River Harbor,1,7,SM,5,48.4,35,S,L,,,,,,,
Great River Harbor,1,8,SM,13.7,55.7,40,I,L,,,,,,,
Great River Harbor,1,9,ASH,8.7,54.7,15,I,L,,,,,,,
Great River Harbor,1,10,SM,10,58.9,20,C,L,,,,,,,
Great River Harbor,1,11,ASH,8.7,49.9,50,S,L,,,,,,,
Great River Harbor,1,12,AE,18.6,60.6,40,D,L,,,,,,,
Great River Harbor,1,13,ASH,8,51.5,30,S,L,,,,,,,
Great River Harbor,1,14,ASH,7.1,32.9,5,S,D,,,,,,,
Great River Harbor,2,1,ASH,16.7,85.3,25,D,L,,,,,,,
Great River Harbor,2,2,CW,41.4,114.8,20,D,L,,,,,,,
Great River Harbor,2,3,CW,30.8,91.8,20,D,L,,,,,,,
Great River Harbor,2,4,BE,6.5,40.7,90,S,L,,,,,,,
Great River Harbor,2,5,ASH,6.1,41.5,70,S,L,,,,,,,
