Site,Plot,Tree #,Species,DBH (in),Height,Live Crown Ratio (%),Class,Status,Site ID,Core ID,Species,Skeleton (Y/N),Measured (Y/N),Innermost Year,Notes
Bagley Bottoms,2,8,SM,15.5,99.8,20,D,L,,,,,,,
Bagley Bottoms,2,9,SM,22,95.1,30,D,L,BB,0209A,SM,,,1977,"""injuries"": 1980s, 1970s"
Bagley Bottoms,2,10,SM,6,44.1,50,S,L,BB,0210B,SM,,,1986,"""injuries"": 2000s, 1990s"
Bagley Bottoms,2,11,AE,7.1,36.9,70,S,L,,,,,,,
Bagley Bottoms,2,12,SM,13.9,75.6,50,I,L,,,,,,,
Bagley Bottoms,2,13,SM,19.8,96.5,30,D,L,BB,0213B,SM,,,1970,"""injuries"": 1980s, 1970s"
Bagley Bottoms,3,1,ASH,18.3,75.3,30,C,L,,,,,,,
Bagley Bottoms,3,2,SM,13.3,65.7,25,I,L,BB,0302B,SM,,,1972,"""injuries"": 2000s, 1980s"
Bagley Bottoms,3,3,SM,15.4,66,50,C,L,,,,,,,
Bagley Bottoms,3,4,SM,12.1,59.8,40,I,L,BB,0304B,SM,,,1970,"""injuries"": 1970s"
Bagley Bottoms,3,5,SM,6.4,50,60,S,L,,,,,,,
Bagley Bottoms,3,6,ASH,7.9,45.1,35,S,L,BB,0306A,ASH,,,1978,
Bagley Bottoms,3,7,SM,22.2,79.3,45,C,L,,,,,,,
Bagley Bottoms,3,8,SM,20.7,75.7,60,C,L,,,,,,,
Bagley Bottoms,3,9,ASH,23,77,15,D,L,BB,0309B,ASH,,,1954,
Bagley Bottoms,3,10,AE,9.3,64.9,75,C,L,,,,,,,
Bagley Bottoms,3,11,SM,15.8,82.1,20,D,L,BB,0311A,SM,,,1978.5,"""injuries"": 2010s, 2000s, 1980s, 1970s"
Bagley Bottoms,3,12,SM,21.1,87.5,30,D,L,,,,,,,
Bagley Bottoms,3,13,AE,14.5,70.1,30,D,L,,,,,,,
Bagley Bottoms,3,14,SM,8,51.9,70,S,L,,,,,,,
Bagley Bottoms,3,15,AE,6.5,45.4,85,S,L,BB,0315B,ELM,,,1980,
Bagley Bottoms,3,16,AE,8.5,50.9,35,S,L,BB,0316B,ELM,,,1976,
Bagley Bottoms,1,1,SM,14.8,48,45,C,L,BB,0102B,SM,,,1985,"""injuries"": 2010s, 2000s"
Bagley Bottoms,1,2,SM,21.1,53,25,D,L,,,,,,,
Bagley Bottoms,1,3,SM,13.2,50,60,C,L,,,,,,,
Bagley Bottoms,1,4,SM,17.1,50,60,C,L,,,,,,,
Bagley Bottoms,1,5,SM,12,47,50,C,L,,,,,,,
Bagley Bottoms,1,6,SM,10.1,45,70,I,L,BB,0106B,SM,,,1977,"""injuries"": 1980"
Bagley Bottoms,1,7,SM,12.5,51,75,C,L,,,,,,,
Bagley Bottoms,1,8,SM,17.1,51,75,C,L,BB,0108B,SM,,,1964,"""injuries"": 1970s, 1960s"
Bagley Bottoms,1,9,SM,21.6,55,40,D,L,BB,0109A,SM,,,1981,"""injuries"": 1980s"
Bagley Bottoms,1,10,SM,16.5,53,20,C,L,,,,,,,
Bagley Bottoms,1,11,SM,21.2,53,20,C,L,,,,,,,
Bagley Bottoms,1,12,SM,13.5,51,50,C,L,,,,,,,
Bagley Bottoms,1,13,SM,31.5,51,50,C,L,,,,,,,
Goose Island,15,1,ASH,5.7,46.5,35,S,L,,,,,,,
Goose Island,15,2,RB,15.3,76.1,60,D,L,,,,,,,
Goose Island,15,3,RB,14,76.1,60,D,L,,,,,,,
Goose Island,15,4,ASH,10.5,47.3,55,I,L,,,,,,,
Goose Island,15,5,OAK,6.9,34.4,80,S,L,,,,,,,
Goose Island,15,6,RB,12.6,57.9,20,C,L,,,,,,,
Goose Island,15,7,RB,10.7,53.3,20,C,L,,,,,,,
Goose Island,15,8,OAK,11.7,65.7,30,D,L,,,,,,,
Goose Island,15,9,RB,11.2,42.2,60,S,L,,,,,,,
Goose Island,15,10,RB,7.2,41.8,50,I,L,,,,,,,
Goose Island,15,11,RB,7.7,42.3,70,I,L,,,,,,,
Goose Island,15,12,RB,12.3,53.1,30,C,L,,,,,,,
Goose Island,15,13,RB,11.5,38.8,10,C,L,,,,,,,
Goose Island,15,14,RB,9.2,44,15,I,L,,,,,,,
Goose Island,15,15,RB,7.7,32,85,S,L,,,,,,,
Goose Island,15,16,RB,8.3,59.7,40,C,L,,,,,,,
McNally's Landing,2,1,HB,13.4,58.5,20,C,L,ML,0201B,HB,,,1985,
McNally's Landing,2,2,HB,11.4,57.6,20,C,L,ML,0202A,HB,,,1985,
McNally's Landing,2,3,HB,14.6,59.2,35,C,L,ML,0203A,HB,,,1986,
McNally's Landing,2,4,AE,10.5,45.3,50,I,L,ML,0204A,ELM,,,1981,
McNally's Landing,2,5,AE,12.6,45.3,50,I,L,ML,0205B,HB,,,1982,
McNally's Landing,2,6,HB,21,61.7,35,D,L,ML,0206A,ELM,,,1987,
McNally's Landing,2,7,AE,12.2,40.8,25,I,L,ML,0207A,HB,,,1972.5,
McNally's Landing,2,8,HB,17.5,54.4,35,D,L,ML,0208A,HB,,,1982,
McNally's Landing,2,9,HB,12.6,45.4,20,C,L,,,,,,,
McNally's Landing,2,10,HB,18.6,59.6,15,C,L,,,,,,,
McNally's Landing,2,11,ASH,18.2,65.2,50,D,L,,,,,,,
McNally's Landing,2,12,ASH,11.5,65.2,50,D,L,,,,,,,
McNally's Landing,1,1,ASH,8.3,57.1,0,D,D,ML,0101A,ASH,,,1961,
McNally's Landing,1,2,ASH,16,77.9,0,D,D,ML,0102B,ASH,,,1985,
McNally's Landing,1,3,ASH,8,45.6,0,I,D,ML,0103A,ASH,,,1968,
McNally's Landing,1,4,ASH,8.4,35.7,0,S,D,,,,,,,
McNally's Landing,1,5,ASH,14,63,0,D,D,ML,,,,,,
McNally's Landing,1,6,ASH,16.3,63,0,D,D,ML,0106B,ASH,,,1962.5,
McNally's Landing,1,7,ASH,11.7,56.1,0,D,D,ML,0107A,ASH,,,1970,
McNally's Landing,1,8,ASH,13.5,55,0,D,D,,,,,,,
McNally's Landing,1,9,ASH,6.2,55,0,D,D,ML,0109B,ASH,,,1966,
McNally's Landing,1,10,ASH,10.8,28.2,0,S,D,ML,0110B,ASH,,,1970,
McNally's Landing,1,11,ASH,12.3,45.6,0,C,D,ML,0111B,ASH,,,1970,
McNally's Landing,1,12,ASH,18.5,57.1,5,D,D,ML,0112A,ASH,,,1969,
McNally's Landing,1,13,ASH,10.5,56,5,D,D,,,,,,,
McNally's Landing,1,14,ASH,10.7,55.3,5,D,D,ML,0114B,ASH,,,1965,
McNally's Landing,1,15,ASH,9.2,51,0,C,D,ML,0115B,ASH,,,1967,
McNally's Landing,1,16,ASH,10.8,46.8,0,I,D,ML,0116B,ELM,,,1978,
McNally's Landing,1,17,ASH,10.1,52.9,10,C,D,,,,,,,
McNally's Landing,1,18,ASH,12.8,36.5,5,S,L,,,,,,,
Minnesota City Boat Club,2,1,CW,19.8,60,10,D,L,,,,,,,
Minnesota City Boat Club,2,2,CW,26.3,67,20,D,L,BC,0202A,CW,,,1945,
Minnesota City Boat Club,2,3,SM,23.3,61,30,C,L,,,,,,,
Minnesota City Boat Club,2,4,SM,13.1,54,45,I,L,,,,,,,
Minnesota City Boat Club,2,5,SM,10.3,57,65,I,L,,,,,,,
Minnesota City Boat Club,2,6,CW,19.1,64,15,D,L,,,,,,,
Minnesota City Boat Club,2,7,SM,18.7,52,35,I,L,BC,0207B,SM,,,1943,"""injuries"": 2000s, 1940s"
Minnesota City Boat Club,2,8,SM,9.6,50,60,S,L,,,,,,,
Minnesota City Boat Club,2,9,SM,11.3,50,60,S,L,BC,0209A,CW,,,1946,
Minnesota City Boat Club,2,10,CW,22.8,66,30,D,L,,,,,,,
Minnesota City Boat Club,2,11,AE,5.9,32,90,S,L,,,,,,,
Minnesota City Boat Club,2,12,CW,21.6,66,15,D,L,,,,,,,
Minnesota City Boat Club,1,1,BW,16.2,51.9,70,D,L,BC,0101A,HB,,,1963.5,
Minnesota City Boat Club,1,2,AE,8.9,52.2,90,D,L,,,,,,,
Minnesota City Boat Club,1,3,ASH,10.7,65,80,D,L,,,,,,,
Minnesota City Boat Club,1,4,ASH,6.3,36,70,S,L,,,,,,,
Minnesota City Boat Club,1,5,CW,34.6,85,25,D,L,BC,0105A,CW,,,1948,
Minnesota City Boat Club,1,6,ASH,11.6,45.6,35,C,L,BC,0106B,ASH,,,1984,
Indian Slough,4,1,SM,19.9,72,20,D,L,,,,,,,
Indian Slough,4,2,SM,15.7,76.5,30,D,L,,,,,,,
Indian Slough,4,3,SM,7,37.3,40,I,L,,,,,,,
Indian Slough,4,4,SM,27.6,41.8,65,D,L,,,,,,,
Indian Slough,4,5,ASH,18,69.6,45,C,L,,,,,,,
Indian Slough,4,6,SM,18,79.7,55,C,L,,,,,,,
Indian Slough,4,7,SM,14.9,62.1,30,C,L,,,,,,,
Indian Slough,4,8,SM,8.5,57.5,25,S,L,,,,,,,
Indian Slough,4,9,ASH,10.7,74.8,55,I,L,,,,,,,
Indian Slough,4,10,HB,9.5,49.6,10,I,L,,,,,,,
Indian Slough,1,1,RB,5.7,37.5,30,I,L,,,,,,,
Indian Slough,1,2,HB,6,27.5,30,S,L,,,,,,,
Indian Slough,1,3,RB,5.3,37,35,I,L,,,,,,,
Indian Slough,1,4,RB,5.4,31.5,30,S,L,,,,,,,
Indian Slough,1,5,RB,8.4,36,60,D,L,,,,,,,
Indian Slough,1,6,HB,6.8,42.7,50,C,L,,,,,,,
Indian Slough,1,7,SM,19.2,51.2,40,D,L,,,,,,,
Indian Slough,1,8,HB,6.9,36.6,50,I,L,,,,,,,
Indian Slough,1,9,HB,10.5,46.5,60,C,L,,,,,,,
Indian Slough,1,10,SM,21.5,54.9,25,D,L,,,,,,,
Indian Slough,1,11,SM,23.2,56.4,20,D,L,,,,,,,
