Plot,Pool,RiverMile,RelMin,RelMax,RelRng,RelMean,RelMed,RelSd,AbsMin,AbsMax,AbsRng,AbsMean,AbsSd,AbsMed,FreqMin,FreqMax,FreqRng,FreqMean,FreqSd,FreqMed,MeanGSDur,MedGSDur,GSDurMin,GSDurMax,GSDurRng,GSDurSd,MeanMedEvDur,MedEvDur,MedEvDurMin,MedEvDurMax,MedEvDurRng,MedEvDurSd,MeanMaxDepth,MedMaxDepth,MinMaxDepth,MaxDepth,MaxDepthRng,MaxDepthSd,MeanPeakDay,MedPeakDay,MinPeakDay,MaxPeakDay,PeakDayRng,PeakDaySd,Anppt,Sprppt,Sumppt,Falppt,Wntppt,GSppt,AnTmean,SprTmean,SumTmean,FalTmean,GSTmean,AnTdMean,SprTdMean,SumTdMean,FalTdMean,GSTdMean,AnVPDMin,SprVPDMin,SumVPDMin,FalVPDMin,GSVPDMin,AnVPDMax,SprVPDMax,SumVPDMax,FalVPDMax,GSVPDMax,AnVPD,SprVPD,SumVPD,FalVPD,GSVPD,SSURGOCls
BC02,5a,731,8.399999619,9,0.600000381,8.571999969,,0.175544944,651.6732492,652.6246928,0.9514436,652.0800734,0.187266715,652.0341416,1.2,1.55,0.35,1.388888889,0.130230091,1.45,18.54444444,18.7,15.85,21.4,5.55,1.995682067,9.666666667,9,9,11,2,0.745355992,1.417407407,1.381979167,1.201458333,1.561354167,0.359895833,0.111798174,117.5555556,117,117,120.5,3.5,1.065740339,33.28,9.07,13.03,8.09,3.1,24.02,46.9,46.8,70.9,49.46666667,63.65,36.9,33.73333333,59.56666667,40.1,51.51666667,0.84,1.003333333,1.346666667,0.673333333,1.213333333,10.44,10.51333333,19.34666667,9.57,16.43333333,2.586111111,5.758333333,10.34666667,5.121666667,8.823333333,577
GI02,8,693,4.599999905,6.599999905,2,5.292000008,,0.488196662,632.4475268,634.8097316,2.3622048,633.5830255,0.57965851,633.530204,0.75,2.325,1.575,1.767045455,0.492695875,1.9375,23.42272727,23.775,8.825,40.225,31.4,8.937300249,9.045454545,11,6,12,6,1.965087847,0.92348595,0.919772727,0.714163636,1.243636364,0.529472727,0.135945489,124.1590909,124,117,130,13,4.090972222,34.18,9.34,13.3,8.21,3.33,24.43,47.4,47.3,71.23333333,50,64.03333333,37.8,34.76666667,60.53333333,40.7,52.43333333,0.9,1.136666667,1.406666667,0.753333333,1.315,10.35,10.70333333,18.86333333,9.626666667,16.28,2.643611111,5.92,10.135,5.19,8.7975,1658A
GI04,8,692,5.699999809,7.900000095,2.200000286,6.965384575,,0.573076935,633.7926712,636.0892592,2.296588,635.005617,0.605505472,635.0721988,0.3,1.6,1.3,0.689772727,0.328966969,0.625,7.871590909,7.275,3.575,17.425,13.85,3.627564105,7.5,7,5,11,6,1.671961287,1.220415767,1.034545455,0.774672727,1.868181818,1.093509091,0.377843607,116.5227273,117,110,124,14,2.376386068,34.09,9.34,13.18,8.21,3.35,24.3,47.5,47.43333333,71.33333333,50.06666667,64.15,37.8,34.83333333,60.53333333,40.73333333,52.45,0.93,1.166666667,1.443333333,0.77,1.35,10.36,10.72666667,18.89333333,9.62,16.32166667,2.67,5.946666667,10.16833333,5.195,8.835833333,1658A
GI05,8,692,8.100000381,8.100000381,0,8.100000381,8.1,0,633.1036948,634.7441148,1.64042,633.8037156,0.314493248,633.7598628,0.3,0.3,0,0.3,0,0.3,3.275,3.275,3.275,3.275,0,0,8,8,8,8,0,0,1.319110502,1.319110502,1.319110502,1.319110502,0,0,115.5,115.5,115.5,115.5,0,0,34.04,9.32,13.21,8.17,3.33,24.31,47.4,47.3,71.23333333,50,64.05,37.9,34.86666667,60.53333333,40.73333333,52.46666667,0.91,1.14,1.416666667,0.76,1.325,10.33,10.67666667,18.84666667,9.58,16.25666667,2.646944444,5.908333333,10.13166667,5.17,8.790833333,1658A
GI06,8,692,4.400000095,7.599999905,3.199999809,5.662962949,,0.910493655,632.0210176,635.5315164,3.5104988,633.6404402,0.92635399,633.5630124,0.5,2.7,2.2,1.619736842,0.720726011,1.7,23.22368421,19.375,5.225,47.95,42.725,13.96984881,8.473684211,7,5.5,12,6.5,2.191332713,1.023406699,0.999090909,0.714163636,1.439381818,0.725218182,0.207949789,124.4210526,123,115.5,139.5,24,7.160313059,34.08,9.33,13.2,8.2,3.35,24.31,47.5,47.4,71.33333333,50.03333333,64.15,37.8,34.8,60.53333333,40.66666667,52.45,0.92,1.16,1.436666667,0.766666667,1.343333333,10.38,10.77333333,18.91333333,9.633333333,16.34833333,2.667777778,5.966666667,10.175,5.2,8.845833333,1658A/656A
GI09,8,692,6.300000191,7.5,1.199999809,6.915384604,,0.253729536,634.1207552,635.6955584,1.5748032,635.0866345,0.292614145,635.1050072,0.375,0.975,0.6,0.64375,0.137357881,0.6,7.41,7.025,4.525,11.775,7.25,1.814204371,6.8,7,5,8.5,3.5,1.053565375,1.206636364,1.041818182,0.853636364,1.776363636,0.922727273,0.302158725,116.375,117,114,118,4,1.035313962,34.09,9.34,13.18,8.21,3.35,24.3,47.5,47.43333333,71.33333333,50.06666667,64.15,37.8,34.83333333,60.53333333,40.73333333,52.45,0.93,1.166666667,1.443333333,0.77,1.35,10.36,10.72666667,18.89333333,9.62,16.32166667,2.67,5.946666667,10.16833333,5.195,8.835833333,1658A
GI10,8,692,4.699999809,5.800000191,1.100000381,5.267999935,,0.34492901,632.8412276,634.4160308,1.5748032,633.6110881,0.352196146,633.5958208,1.125,2.35,1.225,1.846666667,0.353065937,2.025,23.95666667,26.25,12.575,37.9,25.325,7.340336429,8.9,11,6,12,6,2.099206199,0.90393697,0.917272727,0.714163636,1.145454545,0.431290909,0.131001589,125.2,127,118,131.5,13.5,3.655133376,34.08,9.33,13.2,8.2,3.35,24.31,47.5,47.4,71.33333333,50.03333333,64.15,37.8,34.8,60.53333333,40.66666667,52.45,0.92,1.16,1.436666667,0.766666667,1.343333333,10.38,10.77333333,18.91333333,9.633333333,16.34833333,2.667777778,5.966666667,10.175,5.2,8.845833333,1658A
GI12,8,691,5.099999905,6.699999809,1.599999905,6.045833349,,0.326572055,633.2349284,634.9409652,1.7060368,634.3046811,0.292921323,634.350414,0.725,2.05,1.325,1.256578947,0.351017516,1.225,14.52236842,13.475,8.175,28.325,20.15,4.540924253,7.315789474,8,6,11,5,1.078626396,0.872379904,0.842727273,0.714163636,1.078181818,0.364018182,0.132746318,119.6842105,118,117,127.5,10.5,2.791955202,34.09,9.34,13.18,8.21,3.35,24.3,47.5,47.43333333,71.33333333,50.06666667,64.15,37.8,34.83333333,60.53333333,40.73333333,52.45,0.93,1.166666667,1.443333333,0.77,1.35,10.36,10.72666667,18.89333333,9.62,16.32166667,2.67,5.946666667,10.16833333,5.195,8.835833333,506A
GI13,8,691,4.599999905,9,4.400000095,6.476923044,,1.503919953,632.053826,636.9422776,4.8884516,634.2929993,1.51218877,633.9567132,0.275,2.35,2.075,1.11375,0.772231952,0.95,14.50875,11.3875,2.4,40.225,37.825,11.92336801,8.125,11,5,11,6,1.843061312,1.106052382,1.014545455,0.733675549,1.868181818,1.13450627,0.348300229,119.675,118,110,131.5,21.5,6.004737713,34.02,9.31,13.19,8.18,3.33,24.28,47.5,47.36666667,71.33333333,50.03333333,64.13333333,37.8,34.8,60.56666667,40.7,52.46666667,0.92,1.153333333,1.433333333,0.766666667,1.338333333,10.35,10.72666667,18.87333333,9.593333333,16.29333333,2.660277778,5.94,10.15333333,5.18,8.815833333,506A
GI14,8,691,7.099999905,10.69999981,3.599999905,8.959259316,,1.091128961,634.9409652,639.3044824,4.3635172,637.1407522,1.100086973,637.1063196,0.075,0.6,0.525,0.233695652,0.128242445,0.225,2.338043478,2.025,0.575,6.075,5.5,1.426874617,7.152173913,5,2,12,10,2.534264247,0.952090875,0.965890909,0.008181818,1.604545455,1.596363636,0.429538946,111.0434783,110,107,115.5,8.5,3.22326139,34.38,9.05,13.94,8.55,2.83,25.34,46.5,46.5,70.4,49.1,63.25,36.6,33.66666667,59.3,39.66666667,51.28333333,0.86,1.043333333,1.376666667,0.72,1.261666667,10.12,10.27333333,18.66666667,9.323333333,15.93333333,2.563611111,5.658333333,10.02166667,5.021666667,8.5975,1658A
GI15,8,691,4.800000191,5.800000191,1,5.195833325,,0.244061409,632.8084192,634.2191804,1.4107612,633.4334192,0.289584082,633.4317788,1.225,2.425,1.2,1.972058824,0.289761864,2.025,26.42205882,26.25,13.475,42.675,29.2,7.230073439,9.558823529,10,6,11,5,1.607723573,0.922635294,0.917272727,0.714163636,1.296363636,0.5822,0.145265106,125.6470588,127,118,136,18,3.883466863,34.15,9.34,13.24,8.22,3.34,24.37,47.4,47.36666667,71.23333333,50.03333333,64.06666667,37.8,34.8,60.5,40.63333333,52.41666667,0.91,1.146666667,1.416666667,0.76,1.326666667,10.4,10.76333333,18.94666667,9.68,16.37,2.66,5.955,10.18166667,5.22,8.848333333,506A/21A
