Site,Plot,Tree #,Species,Species Ac,DBH (in),DBH Class (1 inch bin),Distance Feet,Distance Inches,Total Distance (ft),Azimuth,Height,Live Crown Ratio (%),Class,Status,Age,BA/tree (sq. ft),BA/acre,TPA
Bagley Bottoms,3,14,SM,,8,8,21,8,21.66666667,305,51.9,70,S,L,44,0.349056,3.49056,10
Bagley Bottoms,3,15,AE,,6.5,6,30,3,30.25,334,45.4,85,S,L,49,0.2304315,2.304315,10
Bagley Bottoms,3,16,AE,,8.5,8,37,1,37.08333333,338,50.9,35,S,L,45,0.3940515,3.940515,10
Bagley Bottoms,1,1,SM,,14.8,14,18,1,18.08333333,11,48,45,C,L,43,1.19464416,11.9464416,10
Bagley Bottoms,1,2,SM,,21.1,21,4,8,4.666666667,40,53,25,D,L,45,2.42817534,24.2817534,10
Bagley Bottoms,1,3,SM,,13.2,13,23,7,23.58333333,40,50,60,C,L,41,0.95030496,9.5030496,10
Bagley Bottoms,1,4,SM,,17.1,17,23,7,23.58333333,40,50,60,C,L,40,1.59480414,15.9480414,10
Bagley Bottoms,1,5,SM,,12,12,35,10,35.83333333,90,47,50,C,L,47,0.785376,7.85376,10
Bagley Bottoms,1,6,SM,,10.1,10,30,2,30.16666667,94,45,70,I,L,51,0.55636254,5.5636254,10
Bagley Bottoms,1,7,SM,,12.5,12,25,8,25.66666667,14,51,75,C,L,47,0.8521875,8.521875,10
Bagley Bottoms,1,8,SM,,17.1,17,25,8,25.66666667,14,51,75,C,L,40,1.59480414,15.9480414,10
Bagley Bottoms,1,9,SM,,21.6,21,31,10,31.83333333,201,55,40,D,L,45,2.54461824,25.4461824,10
Bagley Bottoms,1,10,SM,,16.5,16,37,0,37,315,53,20,C,L,49,1.4848515,14.848515,10
Bagley Bottoms,1,11,SM,,21.2,21,37,0,37,315,53,20,C,L,52,2.45124576,24.5124576,10
Bagley Bottoms,1,12,SM,,13.5,13,14,6,14.5,332,51,50,C,L,41,0.9939915,9.939915,10
Bagley Bottoms,1,13,SM,,31.5,31,14,6,14.5,332,51,50,C,L,51,5.4117315,54.117315,10
Goose Island,2,1,ASH,,6.7,6,21,0,21,31,35.2,80,S,L,70,0.24483006,2.4483006,10
Goose Island,2,2,CW,,18.3,18,20,2,20.16666667,44,61.2,10,D,L,57,1.82649006,18.2649006,10
Goose Island,2,3,CW,,16.7,16,14,7,14.58333333,44,75.9,10,D,L,64,1.52106606,15.2106606,10
Goose Island,2,4,SM,,18.5,18,9,1,9.083333333,55,70.5,40,C,L,75,1.8666315,18.666315,10
Goose Island,2,5,ASH,,9.1,9,14,11,14.91666667,61,53.6,50,I,L,74,0.45164574,4.5164574,10
