Site,Plot,Tree #,Species,Species Ac,DBH (in),DBH Class (1 inch bin),Distance Feet,Distance Inches,Total Distance (ft),Azimuth,Height,Live Crown Ratio (%),Class,Status,Age,BA/tree (sq. ft),BA/acre,TPA
Bagley Bottoms,9,10,SM,,10.6,10,29,8,29.66666667,169,45,50,I,L,72,0.61281144,6.1281144,10
Bagley Bottoms,9,11,SM,,16,16,23,8,23.66666667,206,50,25,C,L,72,1.396224,13.96224,10
Bagley Bottoms,9,12,SM,,10.4,10,26,11,26.91666667,226,43,45,I,L,79,0.58990464,5.8990464,10
Bagley Bottoms,9,13,SM,,11.9,11,36,10,36.83333333,250,49,35,I,L,81,0.77234094,7.7234094,10
Bagley Bottoms,9,14,SM,,22.1,22,13,0,13,254,57,30,D,L,65,2.66378814,26.6378814,10
Bagley Bottoms,9,15,SM,,11,11,32,10,32.83333333,300,46,50,I,L,79,0.659934,6.59934,10
Bagley Bottoms,9,16,SM,,17.6,17,35,1,35.08333333,319,55,35,C,L,77,1.68943104,16.8943104,10
Bagley Bottoms,9,17,SM,,7.6,7,31,8,31.66666667,335,37,50,S,L,66,0.31502304,3.1502304,10
Bagley Bottoms,9,18,SM,,19.7,19,13,9,13.75,348,57,30,D,L,67,2.11664286,21.1664286,10
Bagley Bottoms,9,19,SM,,14.7,14,27,7,27.58333333,354,56,30,D,L,82,1.17855486,11.7855486,10
Bagley Bottoms,2,1,AE,,11.5,11,31,2,31.16666667,71,61.4,30,C,L,45,0.7212915,7.212915,10
Bagley Bottoms,2,2,AE,,6.3,6,24,8,24.66666667,80,51.5,60,S,L,45,0.21646926,2.1646926,10
Bagley Bottoms,2,3,SM,,8.5,8,36,11,36.91666667,124,73.1,15,D,L,50,0.3940515,3.940515,10
Bagley Bottoms,2,4,AE,,7.1,7,26,5,26.41666667,130,38.5,50,S,L,47,0.27493614,2.7493614,10
Bagley Bottoms,2,5,SM,,14.8,14,24,9,24.75,147,79.6,35,D,L,46,1.19464416,11.9464416,10
Bagley Bottoms,2,6,SM,,12,12,17,0,17,162,60,30,I,L,48,0.785376,7.85376,10
Bagley Bottoms,2,7,SM,,13,13,11,10,11.83333333,185,74,20,C,L,46,0.921726,9.21726,10
Bagley Bottoms,2,8,SM,,15.5,15,36,10,36.83333333,186,99.8,20,D,L,45,1.3103235,13.103235,10
Bagley Bottoms,2,9,SM,,22,22,18,8,18.66666667,220,95.1,30,D,L,40,2.639736,26.39736,10
Bagley Bottoms,2,10,SM,,6,6,30,10,30.83333333,234,44.1,50,S,L,38,0.196344,1.96344,10
Bagley Bottoms,2,11,AE,,7.1,7,33,2,33.16666667,251,36.9,70,S,L,48,0.27493614,2.7493614,10
Bagley Bottoms,2,12,SM,,13.9,13,22,8,22.66666667,256,75.6,50,I,L,52,1.05376734,10.5376734,10
Bagley Bottoms,2,13,SM,,19.8,19,21,11,21.91666667,308,96.5,30,D,L,50,2.13818616,21.3818616,10
Bagley Bottoms,3,1,ASH,,18.3,18,28,1,28.08333333,8,75.3,30,C,L,47,1.82649006,18.2649006,10
Bagley Bottoms,3,2,SM,,13.3,13,11,5,11.41666667,26,65.7,25,I,L,46,0.96475806,9.6475806,10
Bagley Bottoms,3,3,SM,,15.4,15,13,2,13.16666667,58,66,50,C,L,48,1.29347064,12.9347064,10
Bagley Bottoms,3,4,SM,,12.1,12,14,2,14.16666667,62,59.8,40,I,L,46,0.79852014,7.9852014,10
Bagley Bottoms,3,5,SM,,6.4,6,14,8,14.66666667,67,50,60,S,L,48,0.22339584,2.2339584,10
Bagley Bottoms,3,6,ASH,,7.9,7,16,6,16.5,46,45.1,35,S,L,48,0.34038414,3.4038414,10
Bagley Bottoms,3,7,SM,,22.2,22,32,6,32.5,99,79.3,45,C,L,41,2.68794936,26.8794936,10
Bagley Bottoms,3,8,SM,,20.7,20,26,2,26.16666667,181,75.7,60,C,L,45,2.33698446,23.3698446,10
Bagley Bottoms,3,9,ASH,,23,23,23,4,23.33333333,183,77,15,D,L,59,2.885166,28.85166,10
Bagley Bottoms,3,10,AE,,9.3,9,33,6,33.5,198,64.9,75,C,L,49,0.47171646,4.7171646,10
Bagley Bottoms,3,11,SM,,15.8,15,36,1,36.08333333,253,82.1,20,D,L,45,1.36153656,13.6153656,10
Bagley Bottoms,3,12,SM,,21.1,21,33,4,33.33333333,290,87.5,30,D,L,47,2.42817534,24.2817534,10
Bagley Bottoms,3,13,AE,,14.5,14,13,5,13.41666667,296,70.1,30,D,L,46,1.1467035,11.467035,10
