Site,Plot,Tree #,Species,DBH (in),Distance Feet,Distance Inches,Total Distance (ft),Azimuth,Height,Live Crown Ratio (%),Class,Status
Bagley Bottoms,3,13,AE,14.5,13,5,13.41666667,296,70.1,30,D,L
Bagley Bottoms,3,14,SM,8,21,8,21.66666667,305,51.9,70,S,L
Bagley Bottoms,3,15,AE,6.5,30,3,30.25,334,45.4,85,S,L
Bagley Bottoms,3,16,AE,8.5,37,1,37.08333333,338,50.9,35,S,L
Bagley Bottoms,1,1,SM,14.8,18,1,18.08333333,11,48,45,C,L
Bagley Bottoms,1,2,SM,21.1,4,8,4.666666667,40,53,25,D,L
Bagley Bottoms,1,3,SM,A13.2/B17.1,23,7,23.58333333,40,50,60,C,L
Bagley Bottoms,1,4,SM,12,35,10,35.83333333,90,47,50,C,L
Bagley Bottoms,1,5,SM,10.1,30,2,30.16666667,94,45,70,I,L
Bagley Bottoms,1,6,SM,A12.5/B17.1,25,8,25.66666667,14,51,75,C,L
Bagley Bottoms,1,7,SM,21.6,31,10,31.83333333,201,55,40,D,L
Bagley Bottoms,1,8,SM,A16.5/B21.2,37,0,37,315,53,20,C,L
Bagley Bottoms,1,9,SM,A13.5/B31.5,14,6,14.5,332,51,50,C,L
Goose Island,15,1,ASH,5.7,33,9,33.75,36,46.5,35,S,L
Goose Island,15,2,RB,A15.3/B14.0,13,2,13.16666667,48,76.1,60,D,L
Goose Island,15,3,ASH,10.5,18,1,18.08333333,77,47.3,55,I,L
Goose Island,15,4,OAK,6.9,23,3,23.25,81,34.4,80,S,L
Goose Island,15,5,RB,12.6,14,10,14.83333333,118,57.9,20,C,L
Goose Island,15,6,RB,10.7,18,7,18.58333333,118,53.3,20,C,L
Goose Island,15,7,OAK,11.7,29,6,29.5,130,65.7,30,D,L
Goose Island,15,8,RB,11.2,31,2,31.16666667,140,42.2,60,S,L
Goose Island,15,9,RB,7.2,21,10,21.83333333,187,41.8,50,I,L
Goose Island,15,10,RB,7.7,13,2,13.16666667,210,42.3,70,I,L
Goose Island,15,11,RB,12.3,32,7,32.58333333,229,53.1,30,C,L
Goose Island,15,12,RB,11.5,15,9,15.75,277,38.8,10,C,L
Goose Island,15,13,RB,9.2,29,4,29.33333333,283,44,15,I,L
Goose Island,15,14,RB,7.7,35,7,35.58333333,284,32,85,S,L
Goose Island,15,15,RB,8.3,28,2,28.16666667,339,59.7,40,C,L
McNally's Landing,2,1,HB,13.4,20,6,20.5,9,58.5,20,C,L
McNally's Landing,2,2,HB,11.4,2,5,2.416666667,29,57.6,20,C,L
McNally's Landing,2,3,HB,14.6,14,2,14.16666667,140,59.2,35,C,L
McNally's Landing,2,4,AE,A10.5/B12.6,34,9,34.75,174,45.3,50,I,L
McNally's Landing,2,5,HB,21,27,11,27.91666667,208,61.7,35,D,L
McNally's Landing,2,6,AE,12.2,23,4,23.33333333,255,40.8,25,I,L
McNally's Landing,2,7,HB,17.5,11,3,11.25,270,54.4,35,D,L
McNally's Landing,2,8,HB,12.6,31,9,31.75,296,45.4,20,C,L
McNally's Landing,2,9,HB,18.6,27,6,27.5,309,59.6,15,C,L
McNally's Landing,2,10,ASH,A18.2/B11.5,37,0,37,336,65.2,50,D,L
McNally's Landing,1,1,ASH,8.3,23,0,23,21,57.1,0,D,D
McNally's Landing,1,2,ASH,16,36,2,36.16666667,38,77.9,0,D,D
McNally's Landing,1,3,ASH,8,12,8,12.66666667,52,45.6,0,I,D
McNally's Landing,1,4,ASH,8.4,21,4,21.33333333,64,35.7,0,S,D
McNally's Landing,1,5,ASH,A14.0/B16.3,31,11,31.91666667,72,63,0,D,D
McNally's Landing,1,6,ASH,11.7,9,8,9.666666667,175,56.1,0,D,D
McNally's Landing,1,7,ASH,A13.5/B6.2,30,5,30.41666667,181,55,0,D,D
McNally's Landing,1,8,ASH,10.8,13,10,13.83333333,195,28.2,0,S,D
McNally's Landing,1,9,ASH,12.3,11,5,11.41666667,210,45.6,0,C,D
McNally's Landing,1,10,ASH,18.5,28,5,28.41666667,216,57.1,5,D,D
McNally's Landing,1,11,ASH,10.5,24,5,24.41666667,243,56,5,D,D
McNally's Landing,1,12,ASH,10.7,30,0,30,251,55.3,5,D,D
McNally's Landing,1,13,ASH,9.2,23,5,23.41666667,286,51,0,C,D
McNally's Landing,1,14,ASH,10.8,3,3,3.25,293,46.8,0,I,D
McNally's Landing,1,15,ASH,10.1,31,2,31.16666667,320,52.9,10,C,D
McNally's Landing,1,16,ASH,12.8,17,9,17.75,353,36.5,5,S,L
Minnesota City Boat Club,2,1,CW,19.8,27,0,27,26,60,10,D,L
Minnesota City Boat Club,2,2,CW,26.3,15,6,15.5,35,67,20,D,L
Minnesota City Boat Club,2,3,SM,23.3,26,7,26.58333333,93,61,30,C,L
Minnesota City Boat Club,2,4,SM,13.1,31,4,31.33333333,98,54,45,I,L
Minnesota City Boat Club,2,5,SM,10.3,34,9,34.75,157,57,65,I,L
Minnesota City Boat Club,2,6,CW,19.1,7,4,7.333333333,214,64,15,D,L
Minnesota City Boat Club,2,7,SM,18.7,13,1,13.08333333,216,52,35,I,L
Minnesota City Boat Club,2,8,SM,A9.6/B11.3,33,0,33,253,50,60,S,L
Minnesota City Boat Club,2,9,CW,22.8,30,3,30.25,266,66,30,D,L
Minnesota City Boat Club,2,10,AE,5.9,26,5,26.41666667,281,32,90,S,L
Minnesota City Boat Club,2,11,CW,21.6,28,10,28.83333333,317,66,15,D,L
Minnesota City Boat Club,1,1,BW,16.2,35,3,35.25,8,51.9,70,D,L
Minnesota City Boat Club,1,2,AE,8.9,13,9,13.75,205,52.2,90,D,L
Minnesota City Boat Club,1,3,ASH,10.7,28,5,28.41666667,272,65*,80,D,L
Minnesota City Boat Club,1,4,ASH,6.3,18,0,18,290,36*,70,S,L
Minnesota City Boat Club,1,5,CW,34.6,16,11,16.91666667,315,85*,25,D,L
Minnesota City Boat Club,1,6,ASH,11.6,9,10,9.833333333,356,45.6,35,C,L
Indian Slough,4,1,SM,19.9,31,0,31,1,72,20,D,L
Indian Slough,4,2,SM,15.7,22,7,22.58333333,41,76.5,30,D,L
Indian Slough,4,3,SM,7,24,6,24.5,54,37.3,40,I,L
Indian Slough,4,4,SM,27.6,22,2,22.16666667,62,41.8,65,D,L
Indian Slough,4,5,ASH,18,27,1,27.08333333,130,69.6,45,C,L
Indian Slough,4,6,SM,18,27,11,27.91666667,132,79.7,55,C,L
Indian Slough,4,7,SM,14.9,29,6,29.5,180,62.1,30,C,L
Indian Slough,4,8,SM,8.5,19,8,19.66666667,248,57.5,25,S,L
Indian Slough,4,9,ASH,10.7,18,9,18.75,267,74.8,55,I,L
Indian Slough,4,10,HB,9.5,18,9,18.75,311,49.6,10,I,L
Indian Slough,1,1,RB,5.7,16,3,16.25,128,37.5,30,I,L
Indian Slough,1,2,HB,6,2,8,2.666666667,150,27.5,30,S,L
Indian Slough,1,3,RB,5.3,19,8,19.66666667,161,37,35,I,L
Indian Slough,1,4,RB,5.4,28,8,28.66666667,168,31.5,30,S,L
Indian Slough,1,5,RB,8.4,34,10,34.83333333,180,36,60,D,L
Indian Slough,1,6,HB,6.8,3,7,3.583333333,201,42.7,50,C,L
Indian Slough,1,7,SM,19.2,4,9,4.75,217,51.2,40,D,L
Indian Slough,1,8,HB,6.9,29,3,29.25,227,36.6,50,I,L
Indian Slough,1,9,HB,10.5,33,2,33.16666667,228,46.5,60,C,L
Indian Slough,1,10,SM,21.5,33,4,33.33333333,243,54.9,25,D,L
Indian Slough,1,11,SM,23.2,27,0,27,313,56.4,20,D,L
