Site,Plot,Tree #,Species,DBH (in),Distance Feet,Distance Inches,Total Distance (ft),Azimuth,Height,Live Crown Ratio (%),Class,Status
Lake Rebecca,2,4,SM,11.4,8,10,8.833333333,67,59.7,30,D,L
Lake Rebecca,2,5,SM,5.4,14,10,14.83333333,67,41.6,10,S,L
Lake Rebecca,2,6,ASH,12.7,22,9,22.75,67,45.6,30,C,L
Lake Rebecca,2,7,SM,7.6,26,5,26.41666667,83,37.8,10,S,L
Lake Rebecca,2,8,SM,13,24,4,24.33333333,92,60.4,20,D,L
Lake Rebecca,2,9,SM,5.7,31,5,31.41666667,92,34.8,30,C,L
Lake Rebecca,2,10,SM,10.2,24,0,24,112,56,40,D,L
Lake Rebecca,2,11,SM,8.3,30,10,30.83333333,115,39.3,60,D,L
Lake Rebecca,2,12,SM,9.9,16,7,16.58333333,122,47.1,20,C,L
Lake Rebecca,2,13,SM,5.2,16,2,16.16666667,143,14.6,60,S,L
Lake Rebecca,2,14,SM,6.1,9,11,9.916666667,143,38.2,60,S,L
Lake Rebecca,2,15,SM,9.8,24,2,24.16666667,184,46.8,40,S,L
Lake Rebecca,2,16,SM,11,23,6,23.5,212,43.4,30,C,L
Lake Rebecca,2,17,SM,6,25,10,25.83333333,218,37.1,50,S,L
Lake Rebecca,2,18,SM,14.5,15,0,15,224,53.4,20,C,L
Lake Rebecca,2,19,SM,15.8,36,4,36.33333333,229,60.7,15,C,L
Lake Rebecca,2,20,SM,5.3,20,11,20.91666667,234,38.1,70,S,L
Lake Rebecca,2,21,SM,5.9,13,11,13.91666667,255,28.1,80,S,L
Lake Rebecca,2,22,SM,10.2,22,6,22.5,239,42.7,15,C,L
Lake Rebecca,2,23,SM,6.7,20,7,20.58333333,262,33.5,20,S,L
Lake Rebecca,2,24,SM,17.2,25,3,25.25,269,44.5,10,S,L
Lake Rebecca,2,25,SM,9.8,26,8,26.66666667,267,36.8,30,S,L
Lake Rebecca,2,26,SM,7.7,35,5,35.41666667,352,49.6,20,S,L
Lake Rebecca,2,27,AE,10.1,32,6,32.5,292,27.7,20,S,L
Lake Rebecca,2,28,SM,6.5,18,10,18.83333333,302,42.5,40,S,L
Lake Rebecca,2,29,SM,9.9,25,8,25.66666667,308,53.7,40,S,L
Lake Rebecca,2,30,CW,61.8,13,7,13.58333333,318,97.2,10,D,L
Lake Rebecca,3,1,SM,7.5,32,0,32,21,37.7,40,S,L
Lake Rebecca,3,2,SM,11.1,32,0,32,18,48.6,10,I,L
Lake Rebecca,3,3,ASH,10.7,27,4,27.33333333,34,48,5,S,D
Lake Rebecca,3,4,ASH,15.5,16,5,16.41666667,54,61.2,15,D,L
Lake Rebecca,3,5,ASH,12.2,33,11,33.91666667,70,31.1,40,I,L
Lake Rebecca,3,6,ASH,12.2,27,11,27.91666667,88,54.3,20,C,L
Lake Rebecca,3,7,ASH,8.8,30,0,30,88,31.5,20,S,L
Lake Rebecca,3,8,SM,33.5,18,9,18.75,113,75.4,30,C,L
Lake Rebecca,3,9,ASH,13,32,5,32.41666667,118,48.4,40,C,L
Lake Rebecca,3,10,SM,10,32,5,32.41666667,167,55.6,30,I,L
Lake Rebecca,3,11,CW,20.2,14,2,14.16666667,202,61.9,15,D,L
Lake Rebecca,3,12,SM,12.1,16,0,16,205,59.5,20,C,L
Lake Rebecca,3,13,SM,11.8,22,4,22.33333333,210,44.3,30,I,L
Lake Rebecca,3,14,CW,18.5,15,10,15.83333333,234,67.1,10,D,L
Lake Rebecca,3,15,SM,9.2,28,10,28.83333333,237,53.5,25,I,L
Lake Rebecca,3,16,SM,15.9,29,3,29.25,253,63.3,50,C,L
Lake Rebecca,3,17,SM,7.9,16,3,16.25,273,43.2,20,S,L
Lake Rebecca,3,18,SM,6.8,21,0,21,273,28.3,40,S,L
Lake Rebecca,3,19,SM,6.5,35,2,35.16666667,297,43.7,50,S,L
Lake Rebecca,3,20,CW,23.1,34,2,34.16666667,313,92.1,10,D,L
Lake Rebecca,3,21,SM,10.2,15,11,15.91666667,328,41.1,50,I,L
Lake Rebecca,3,22,SM,9.1,33,8,33.66666667,345,64.7,10,C,L
Lake Rebecca,4,1,SM,10.7,17,3,17.25,7,70.7,30,I,L
Lake Rebecca,4,2,SM,7.3,15,2,15.16666667,24,27,50,S,L
Lake Rebecca,4,3,CW,27.9,10,9,10.75,72,85.4,20,D,L
