Site,Plot,Tree #,Species,Pith Score,Match Score,Core Condition,Notes,,,,,,
Bagley Bottoms,8,3,SM,A,B,A,,,,,,,
Bagley Bottoms,8,4,SM,C,C,A,,,,,,,
Bagley Bottoms,8,5,SM,B,A,B,,,,,,,
Bagley Bottoms,8,6,SM,,,,,,,,,,
Bagley Bottoms,8,7,AE,C,B,B,,,,,,,
Bagley Bottoms,8,8,SM,,,,,,,,,,
Bagley Bottoms,8,9,AE,B,B,A,,,,,,,
Bagley Bottoms,7,1,?,C,C,C,,,,,,,
Bagley Bottoms,7,2,ASH,A,A,A,,,,,,,
Bagley Bottoms,7,3,SM,C,C,B,,,,,,,
Bagley Bottoms,7,4,?,C,B,C,,,,,,,
Bagley Bottoms,7,5,SM,,,,,,,,,,
Bagley Bottoms,7,6,ASH,C,B,A,,,,,,,
Bagley Bottoms,7,7,SM,A,C,A,,,,,,,
Bagley Bottoms,7,8,SM,C,C,A,,,,,,,
Bagley Bottoms,7,9,AE,B,A,B,,,,,,,
Bagley Bottoms,7,10,AE,A,A,A,,,,,,,
Bagley Bottoms,7,11,AE,C,B,A,,,,,,,
Bagley Bottoms,7,12,SM,C,C,A,,,,,,,
Bagley Bottoms,7,13,SM,,,,,,,,,,
Bagley Bottoms,9,1,SM,A,C,C,,,,,,,
Bagley Bottoms,9,2,SM,C,C,C,,,,,,,
Bagley Bottoms,9,3,SM,C,B,A,,,,,,,
Bagley Bottoms,9,4,CW,C,A,C,,,,,,,
Bagley Bottoms,9,5,SM,C,C,A,,,,,,,
Bagley Bottoms,9,6,SM,C,C,B,,,,,,,
Bagley Bottoms,9,7,AE,A,A,B,,,,,,,
Bagley Bottoms,9,8,SM,A,C,B,,,,,,,
Bagley Bottoms,9,9,SM,B,,A,,,,,,,
Bagley Bottoms,9,10,SM,C,,A,,,,,,,
Bagley Bottoms,9,11,SM,B,B,A,,,,,,,
Bagley Bottoms,9,12,SM,B,C,A,,,,,,,
Bagley Bottoms,9,13,SM,C,B,A,,,,,,,
Bagley Bottoms,9,14,SM,A,C,A,,,,,,,
Bagley Bottoms,9,15,SM,B,B,A,,,,,,,
Bagley Bottoms,9,16,SM,C,C,A,,,,,,,
Bagley Bottoms,9,17,SM,C,,B,,,,,,,
Bagley Bottoms,9,18,SM,C,C,A,,,,,,,
Bagley Bottoms,9,19,SM,C,C,A,,,,,,,
Bagley Bottoms,2,1,AE,C,,A,,,309,cw,b,,
Bagley Bottoms,2,2,AE,C,B,A,,,,,,,
Bagley Bottoms,2,3,SM,A,C,A,,,,,,,
Bagley Bottoms,2,4,AE,A,B,A,,,,,,,
Bagley Bottoms,2,5,SM,C,B,A,,,,,,,
Bagley Bottoms,2,6,SM,A,A,A,,,,,,,
Bagley Bottoms,2,7,SM,C,C,A,,,,,,,
Bagley Bottoms,2,8,SM,C,C,A,,,,,,,
Bagley Bottoms,2,9,SM,C,A,A,,,,,,,
Bagley Bottoms,2,10,SM,B,B,B,,,,,,,
Bagley Bottoms,2,11,AE,A,C,A,,,,,,,
Bagley Bottoms,2,12,SM,C,C,A,,,,,,,
Bagley Bottoms,2,13,SM,C,C,A,,,,,,,
Bagley Bottoms,3,1,ASH,C,B,A,Wood looks elm,,,,,,
Bagley Bottoms,3,2,SM,C,B,A,,,,,,,
Bagley Bottoms,3,3,SM,C,B,B,,,,,,,
Bagley Bottoms,3,4,SM,C,C,B,,,,,,,
Bagley Bottoms,3,5,SM,B,B,A,,,,,,,
Bagley Bottoms,3,6,ASH,B,,A,Wood looks elm,,,,,,
Bagley Bottoms,3,7,SM,C,,A,,,,,,,
Bagley Bottoms,3,8,SM,C,,A,,,,,,,
Bagley Bottoms,3,9,ASH,C,,C,Wood looks elm,should be 11,,,,a,b
Bagley Bottoms,3,10,AE,A,B,A,,,,,,,
Bagley Bottoms,3,11,SM,C,C,A,,,,,,,
Bagley Bottoms,3,12,SM,C,C,B,,,,,,,
Bagley Bottoms,3,13,AE,C,C,B,,,,,,,
Bagley Bottoms,3,14,SM,C,C,B,,,,,,,
Bagley Bottoms,3,15,AE,C,B,A,,,,,,,
Bagley Bottoms,3,16,AE,B,C,B,,,,,,,
Bagley Bottoms,1,1,SM,C,B,A,,,,,,,
Bagley Bottoms,1,2,SM,C,C,A,,,,,,,
Bagley Bottoms,1,3,SM,C,C,A,,,,,,,
Bagley Bottoms,1,4,SM,B,C,A,,,,,,,
Bagley Bottoms,1,5,SM,B,B,A,,,,,,,
Bagley Bottoms,1,6,SM,B,C,A,,,,,,,
Bagley Bottoms,1,7,SM,A,B,B,,,,,,,
Bagley Bottoms,1,8,SM,C,B,A,,,,,,,
Bagley Bottoms,1,9,SM,B,C,B,,,,,,,
Bagley Bottoms,1,10,SM,,,,,,,,,,
Bagley Bottoms,1,11,SM,,,,,,,,,,
Bagley Bottoms,1,12,SM,,,,,,,,,,
Bagley Bottoms,1,13,SM,,,,,,,,,,
Goose Island,2,1,ASH,B,A,B,,,,,,,
Goose Island,2,2,CW,,,,,,,,,,
Goose Island,2,3,CW,,,,,,,,,,
Goose Island,2,4,SM,A,C,A,,,,,,,
Goose Island,2,5,ASH,C,A,B,,,,,,,
Goose Island,2,6,SM,C,B,C,,,,,,,
Goose Island,2,7,CW,C,C,C,,,,,,,
